operation,cluster_type,input_size,time_taken,memory_used
READ DATA,LOCAL,40 MLN,0.013917626813054085,0.0
HEAD-5,LOCAL,40 MLN,55.871695943176746,0.0
GROUP_BY_MONTH_AND_YEAR,LOCAL,40 MLN,253.46071463637054,1.048575999999997
MEAN_TRIP_DURATION,LOCAL,40 MLN,210.48959915712476,1.3107200000000034
READ DATA,LOCAL,80 MLN,0.013061361387372017,0.0
HEAD-5,LOCAL,80 MLN,57.398370584473014,0.5242880000000127
GROUP_BY_MONTH_AND_YEAR,LOCAL,80 MLN,675.1720012947917,3.4078719999999976
MEAN_TRIP_DURATION,LOCAL,80 MLN,431.64918770827353,1.3107200000000034
MEAN AND FILTER,LOCAL,3,0.7460625227540731,0.0
MEAN AND FILTER,LOCAL,3,0.09703170135617256,0.26214399999997795
MEAN AND FILTER,PANDAS,3,0.0008070264011621475,0.2621440000000348
READ DATA,SLURM,40 MLN,0.02249228209257126,5.242880000000014
HEAD-5,SLURM,40 MLN,1.1846237853169441,1.3107200000000034
GROUP_BY_MONTH_AND_YEAR,SLURM,40 MLN,1.8875971883535385,1.3107200000000034
MEAN_TRIP_DURATION,SLURM,40 MLN,1.3449335042387247,0.26214400000000637
READ DATA,SLURM,80 MLN,0.010252157226204872,0.0
HEAD-5,SLURM,80 MLN,1.1754133999347687,1.048575999999997
GROUP_BY_MONTH_AND_YEAR,SLURM,80 MLN,2.705820171162486,0.2621440000000348
MEAN_TRIP_DURATION,SLURM,80 MLN,2.015268176794052,0.26214399999997795
MEAN AND FILTER,SLURM,3,0.6383054368197918,0.0
